model,scope,n_matches,accuracy,log_loss,brier
logistic,wc:2014,8,0.5,1.0491797899962256,0.6267387482983799
logistic,wc:2018,4,0.0,1.254961030273635,0.7833555913863334
logistic,wc:2022,4,0.5,1.0039299042708567,0.6118333694388597
logistic,walk_forward,1284,0.559190031152648,0.9591935205491037,0.5680280862708442
xgboost,wc:2014,8,0.5,1.2177617671783363,0.7064486188786937
xgboost,wc:2018,4,0.75,0.7622390568066135,0.45925374760756255
xgboost,wc:2022,4,0.5,0.9152949280940135,0.5481221311892279
xgboost,walk_forward,1284,0.5467289719626168,0.9875881523848121,0.5838283114157856
