model,best_log_loss,best_accuracy,default_log_loss,default_accuracy,best_params
catboost,0.9077267348172415,0.5892045454545455,0.9285673837452262,0.571590909090909,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.03}"
xgboost,0.9286148223129093,0.5778409090909091,1.053528638846949,0.5573863636363636,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.03}"
lightgbm,0.9453161118953802,0.5761363636363637,1.0901691226220431,0.5465909090909091,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.03}"
