n_estimators,max_depth,learning_rate,log_loss,accuracy,brier
200,3,0.03,0.9798595302928598,0.5420454545454545,0.5800344866130611
200,4,0.03,0.9931274163123947,0.5443181818181818,0.58740904361797
200,3,0.05,1.0018401730987563,0.5352272727272728,0.5916618644198406
400,3,0.03,1.0121504284302254,0.5357954545454545,0.596437618032668
200,6,0.03,1.0183704632884036,0.5397727272727273,0.5999285162550251
200,4,0.05,1.0269492469479424,0.5318181818181819,0.6041964859972994
400,4,0.03,1.040997442550955,0.5301136363636364,0.609815954865164
600,3,0.03,1.0439705663252616,0.5255681818181818,0.6114424315639058
400,3,0.05,1.0564559046554165,0.5227272727272727,0.6163266340596044
200,3,0.1,1.0599246258802406,0.5232954545454546,0.6176039412646586
200,6,0.05,1.072918400058791,0.5238636363636363,0.624527001086921
600,4,0.03,1.0860048578239492,0.5159090909090909,0.628975470298534
400,6,0.03,1.0920044119150478,0.5272727272727272,0.6313853415619219
400,4,0.05,1.104350320736712,0.5125,0.6378258075943161
600,3,0.05,1.1087028510608876,0.5096590909090909,0.6384862984538259
200,4,0.1,1.114268230506958,0.5125,0.641227232107722
600,6,0.03,1.158578858007337,0.5102272727272728,0.6552667724324813
400,3,0.1,1.1655462336595417,0.5073863636363637,0.6581671166309196
600,4,0.05,1.1748245150310024,0.5017045454545455,0.6629786132931511
400,6,0.05,1.1889630903308281,0.5005681818181819,0.6665043650312562
200,6,0.1,1.1930306794699674,0.49772727272727274,0.6684091329890386
400,4,0.1,1.2555494250040298,0.4994318181818182,0.6890667481447145
600,3,0.1,1.2589509403548815,0.49886363636363634,0.6873115999656768
600,6,0.05,1.2830126974961436,0.4948863636363636,0.6958399172205184
400,6,0.1,1.359794960614784,0.49829545454545454,0.7156879846828208
600,4,0.1,1.3673510669894977,0.48863636363636365,0.7215354661332953
600,6,0.1,1.474235473294995,0.4909090909090909,0.7443378297322272
